Score,Round,Name,Diff,Map
100200,20,Yao,Normal,>
54300,10,Yao,Normal,Line
82000,15,Mooyoung,Hard,Z2
10000,7,Mooyoung,Easy,Line
5900,4,Yao,Normal,Z
5000,3,Yao,Normal,Line
5900,4,Yao,Normal,Z
4550,3,Mooyoung,Easy,Z
5260,4,Sunna,Normal,Z
