Score,Round,Name,Diff,Map
9700,20,Yao,Normal,>
9650,10,Yao,Normal,Line
9600,15,Lee,Hard,Z2
9550,7,Lee,Easy,Line
9500,4,Yao,Normal,Z
8250,3,Yao,Normal,Line
7000,4,Yao,Normal,Z
5750,3,Lee,Easy,Z
4500,4,Lee,Normal,Z
